District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),,,,,
Adilabad,Bheempoor,01-Jan-21,0,10.1,30,37.8,95.7,0,3.1,,,,,
Adilabad,Bheempoor,02-Jan-21,0,11.7,29.9,40.6,96.6,0,2.2,,,,,
Adilabad,Bheempoor,03-Jan-21,0,10.4,30.4,45.8,97,0,2.2,,,,,
Adilabad,Bheempoor,04-Jan-21,0,13.1,30.5,38.4,96.4,0,2,,,,,
Adilabad,Bheempoor,05-Jan-21,0,13.4,29.8,50.7,97,0,2,,,,,
Adilabad,Bheempoor,06-Jan-21,0,15.6,30.9,43.3,93.6,0,1.6,,,,,
Adilabad,Bheempoor,07-Jan-21,0,19.3,31.2,48.2,92.6,0,1.4,,,,,
Adilabad,Bheempoor,08-Jan-21,0,21.3,29.6,59.8,91.8,0,2,,,,,
Adilabad,Bheempoor,09-Jan-21,0,17.3,31.2,51.8,96.1,0,1.6,,,,,
Adilabad,Bheempoor,10-Jan-21,0,12.4,33.7,24.8,88.1,0,2.8,,,,,
Adilabad,Bheempoor,11-Jan-21,0,13.1,34.3,24.2,85.8,0,1.9,,,,,
Adilabad,Bheempoor,12-Jan-21,0,15.9,34,35.5,93,0,1.4,,,,,
Adilabad,Bheempoor,13-Jan-21,0,14.7,32.8,42.6,95.9,0,1.5,,,,,
Adilabad,Bheempoor,14-Jan-21,0,12,31.7,40.6,95.3,0,1.5,,,,,
Adilabad,Bheempoor,15-Jan-21,0,9.9,31.8,36.2,94.6,0,1.3,,,,,
Adilabad,Bheempoor,16-Jan-21,0,11.9,32.3,32.9,89.9,0,1.3,,,,,
Adilabad,Bheempoor,17-Jan-21,0,12.7,32.7,32.4,91.3,0,1.6,,,,,
Adilabad,Bheempoor,18-Jan-21,0,12.6,32.6,32.1,91.6,0,1.7,,,,,
Adilabad,Bheempoor,19-Jan-21,0,13.5,32.1,33.2,93.4,0,2.1,,,,,
Adilabad,Bheempoor,20-Jan-21,0,15.8,33.5,36.9,90.5,0,1.9,,,,,
Adilabad,Bheempoor,21-Jan-21,0,15.1,33.1,38.8,90.1,0,2.3,,,,,
Adilabad,Bheempoor,22-Jan-21,0,10.6,32.5,25.4,91.1,0,1.5,,,,,
Adilabad,Bheempoor,23-Jan-21,0,10.6,32.3,28.8,88.9,0,1.7,,,,,
Adilabad,Bheempoor,24-Jan-21,0,14.7,34.4,31.9,90.5,0,2.6,,,,,
Adilabad,Bheempoor,25-Jan-21,0,13.4,34.8,38.3,91.2,0,1.6,,,,,
Adilabad,Bheempoor,26-Jan-21,0,15.1,33.4,40.4,89.7,0,1.8,,,,,
Adilabad,Bheempoor,27-Jan-21,0,15.1,32.9,42.4,87.7,0,1.5,,,,,
Adilabad,Bheempoor,28-Jan-21,0,16.2,32.9,42.2,93.7,0,0.9,,,,,
Adilabad,Bheempoor,29-Jan-21,0,17.8,31.9,43.9,91.3,0,1.9,,,,,
Adilabad,Bheempoor,30-Jan-21,0,13.6,31.5,46.2,88.5,0,1.5,,,,,
Adilabad,Bheempoor,31-Jan-21,0,9.6,29.6,28.3,83.2,0,2,,,,,
Adilabad,Bheempoor,01-Feb-21,0,9.9,30.6,30.7,85.9,0,1.8,,,,,
Adilabad,Bheempoor,02-Feb-21,0,8,32.2,26.3,85.9,0,2,,,,,
Adilabad,Bheempoor,03-Feb-21,0,7,33,18.3,83.6,0,1.9,,,,,
Adilabad,Bheempoor,04-Feb-21,0,7.1,32.9,16.3,80.7,0,1.9,,,,,
Adilabad,Bheempoor,05-Feb-21,0,8.6,32.2,17.7,84.8,0,6.7,,,,,
Adilabad,Bheempoor,06-Feb-21,0,13,33.5,21.7,76.7,0.1,2.6,,,,,
Adilabad,Bheempoor,07-Feb-21,0,11.9,31.1,32.5,81.9,0,1.9,,,,,
Adilabad,Bheempoor,08-Feb-21,0,6.3,29.6,26.5,88.8,0,1.5,,,,,
Adilabad,Bheempoor,09-Feb-21,0,6,30.6,20.6,78.6,0,1.6,,,,,
Adilabad,Bheempoor,10-Feb-21,0,7.3,32.5,20.2,79.2,0,1.2,,,,,
Adilabad,Bheempoor,11-Feb-21,0,9.5,33.5,19.6,79.8,0,1.3,,,,,
Adilabad,Bheempoor,12-Feb-21,0,11.7,34.2,22.6,81.6,0,1.2,,,,,
Adilabad,Bheempoor,13-Feb-21,0,13,34,25,80.2,0,1.4,,,,,
Adilabad,Bheempoor,14-Feb-21,0,15.2,34.8,26.1,83.4,0,1.6,,,,,
Adilabad,Bheempoor,15-Feb-21,0,17.7,34.4,30,74.1,0,1.1,,,,,
Adilabad,Bheempoor,16-Feb-21,0,14.4,35.1,28,83,0,1.7,,,,,
Adilabad,Bheempoor,17-Feb-21,0,17.9,34.6,28.3,76.7,0,2.2,,,,,
Adilabad,Bheempoor,18-Feb-21,0,17.6,30.5,38.4,83,0,2.6,,,,,
Adilabad,Bheempoor,19-Feb-21,0,16.7,28.8,43.6,87.7,0,2.7,,,,,
Adilabad,Bheempoor,20-Feb-21,0,11.6,23.2,61.5,95.9,0,1.8,,,,,
Adilabad,Bheempoor,21-Feb-21,0,15.4,31.8,36.5,81.8,0,2.1,,,,,
Adilabad,Bheempoor,22-Feb-21,0,14.7,33,36.1,83.6,0,1.4,,,,,
Adilabad,Bheempoor,23-Feb-21,0,12.3,34.7,22.9,75.9,0,3.4,,,,,
Adilabad,Bheempoor,24-Feb-21,0,12,35.5,22.8,78.3,0,2.4,,,,,
Adilabad,Bheempoor,25-Feb-21,0,13.1,36.4,20.5,76.2,0,1.8,,,,,
Adilabad,Bheempoor,26-Feb-21,0,15.3,37.7,18.6,67.2,0,1.2,,,,,
Adilabad,Bheempoor,27-Feb-21,0,14.9,37.6,25.2,66.7,0,2.4,,,,,
Adilabad,Bheempoor,28-Feb-21,0,14.1,36.6,19.1,66.5,0,2.2,,,,,
Adilabad,Bheempoor,01-Mar-21,0,22.1,38.1,18.4,59,0,2.1,,,,,
Adilabad,Bheempoor,02-Mar-21,0,15.8,37.8,18.3,62.2,0,1.5,,,,,
Adilabad,Bheempoor,03-Mar-21,0,13.4,37.4,15.6,58.9,0,1.8,,,,,
Adilabad,Bheempoor,04-Mar-21,0,13.2,36.9,15.5,63.6,0,1.9,,,,,
Adilabad,Bheempoor,05-Mar-21,0,15,37.6,11.8,59.5,0,1.8,,,,,
Adilabad,Bheempoor,06-Mar-21,0,14.2,36.7,16.1,59.8,0,3.3,,,,,
Adilabad,Bheempoor,07-Mar-21,0,13.8,37.3,13.9,57,0,2,,,,,
Adilabad,Bheempoor,08-Mar-21,0,17.3,38.1,17,55.4,0,2.5,,,,,
Adilabad,Bheempoor,09-Mar-21,0,19.2,38.5,18.2,59.6,0,3,,,,,
Adilabad,Bheempoor,10-Mar-21,0,21.2,37.6,22.3,63.2,0,2,,,,,
Adilabad,Bheempoor,11-Mar-21,0,21.3,37.6,21,68.3,0.1,4.3,,,,,
Adilabad,Bheempoor,12-Mar-21,0,17.2,37.7,18.4,71.9,0,3.2,,,,,
Adilabad,Bheempoor,13-Mar-21,0,22,37.2,21.5,65.3,0,3.8,,,,,
Adilabad,Bheempoor,14-Mar-21,0,16.2,34.7,24.6,64.4,0,4.4,,,,,
Adilabad,Bheempoor,15-Mar-21,0,17.8,36.6,19.2,56.9,0,2.1,,,,,
Adilabad,Bheempoor,16-Mar-21,0,19,37.6,20.6,66.7,0,1.8,,,,,
Adilabad,Bheempoor,17-Mar-21,0,20.2,36.9,23.4,63.2,0,1.8,,,,,
Adilabad,Bheempoor,18-Mar-21,0,24.4,37.4,20.2,69.5,0.1,2.9,,,,,
Adilabad,Bheempoor,19-Mar-21,0.8,22.6,37.6,26.6,77.8,0.1,4.2,,,,,
Adilabad,Bheempoor,20-Mar-21,0,21.5,33.9,32.3,72.8,0,3.4,,,,,
Adilabad,Bheempoor,21-Mar-21,0,19.9,35.5,30.5,75,0,3.5,,,,,
Adilabad,Bheempoor,22-Mar-21,0,19.4,36.8,25.7,57.5,0,2.3,,,,,
Adilabad,Bheempoor,23-Mar-21,1.3,22.1,35.5,28.3,84.5,0.1,2.5,,,,,
Adilabad,Bheempoor,24-Mar-21,0,17.3,33.1,34.3,84,0,2.4,,,,,
Adilabad,Bheempoor,25-Mar-21,0,19.6,37,24.5,66.5,0,1.4,,,,,
Adilabad,Bheempoor,26-Mar-21,0,21.1,38.1,22.3,55.1,0,2,,,,,
Adilabad,Bheempoor,27-Mar-21,0,18.5,38.3,20.7,27.8,1.1,2.5,,,,,
Adilabad,Bheempoor,28-Mar-21,0,18.6,38.6,14.3,56.5,0,6.8,,,,,
Adilabad,Bheempoor,29-Mar-21,0,19.4,41.2,13.2,47.4,0,7.1,,,,,
Adilabad,Bheempoor,30-Mar-21,0,20.4,40.9,11.8,45.2,0,3.2,,,,,
Adilabad,Bheempoor,31-Mar-21,0,24.5,39.8,13.8,63.3,0,14.6,,,,,
Adilabad,Jainad,01-Jan-21,0,11.4,30.9,32.1,89.6,0,10.6,,,,,
Adilabad,Jainad,02-Jan-21,0,13,31.2,31.3,94.1,0,6.5,,,,,
Adilabad,Jainad,03-Jan-21,0,11.7,31.4,38.7,94.9,0,8.9,,,,,
Adilabad,Jainad,04-Jan-21,0,13.5,30.5,37.6,94.1,0,4.6,,,,,
Adilabad,Jainad,05-Jan-21,0,13.6,32.1,35.5,94,0,6.1,,,,,
Adilabad,Jainad,06-Jan-21,0,16.3,30.7,40.2,88.5,0,6.6,,,,,
Adilabad,Jainad,07-Jan-21,0,19.7,31.6,40.7,91.2,0,6.5,,,,,
Adilabad,Jainad,08-Jan-21,0,21.2,29,48.7,86.6,0,9.8,,,,,
Adilabad,Jainad,09-Jan-21,0,16.3,31.2,45.3,87.3,0,3.9,,,,,
Adilabad,Jainad,10-Jan-21,0,14.8,34.3,23.1,70.8,0,7.2,,,,,
Adilabad,Jainad,11-Jan-21,0,14.5,33.8,23.8,70.4,0,5.4,,,,,
Adilabad,Jainad,12-Jan-21,0,16,34.8,29.5,80.3,0,5.3,,,,,
Adilabad,Jainad,13-Jan-21,0,16.2,33.5,31.9,74.6,0,7.8,,,,,
Adilabad,Jainad,14-Jan-21,0,18.8,35.5,35.4,83.5,0,7.8,,,,,
Adilabad,Jainad,15-Jan-21,0,11.6,32,29.7,72.7,0,5.8,,,,,
Adilabad,Jainad,16-Jan-21,0,12.7,33.3,26.3,69.4,0,5,,,,,
Adilabad,Jainad,17-Jan-21,0,13.6,34,27.3,81,0,7.4,,,,,
Adilabad,Jainad,18-Jan-21,0,13.2,33.6,26.7,82.8,0,9.7,,,,,
Adilabad,Jainad,19-Jan-21,0,14.9,33.6,29.4,73.5,0,6.6,,,,,
Adilabad,Jainad,20-Jan-21,0,18.5,34.2,31.9,68,0,7.4,,,,,
Adilabad,Jainad,21-Jan-21,0,16.7,33.1,32.7,80.3,0,9.6,,,,,
Adilabad,Jainad,22-Jan-21,0,11.7,32.3,28.4,84.1,0,5.2,,,,,
Adilabad,Jainad,23-Jan-21,0,12.2,34,24.3,81.7,0,5.1,,,,,
Adilabad,Jainad,24-Jan-21,0,17.4,35,27.3,83.2,0,9.8,,,,,
Adilabad,Jainad,25-Jan-21,0,16.3,34.9,32.9,81.3,0,8,,,,,
Adilabad,Jainad,26-Jan-21,0,16.3,33.8,35.7,82,0,5.8,,,,,
Adilabad,Jainad,27-Jan-21,0,15.5,33.3,32.9,84.2,0,4.1,,,,,
Adilabad,Jainad,28-Jan-21,0,18,32.8,37.4,80.9,0,2.8,,,,,
Adilabad,Jainad,29-Jan-21,0,18.5,31.6,37.5,80.6,0,5,,,,,
Adilabad,Jainad,30-Jan-21,0,14.9,32.4,36.6,79.5,0.2,4.4,,,,,
Adilabad,Jainad,31-Jan-21,0,11.3,28.9,25.5,73.1,0,7.6,,,,,
Adilabad,Jainad,01-Feb-21,0,11.3,31.4,25.9,79.8,0,4.3,,,,,
Adilabad,Jainad,02-Feb-21,0,9.8,33.4,21.3,80.5,0,1.5,,,,,
Adilabad,Jainad,03-Feb-21,0,8.9,33.1,16.2,74.2,0,8,,,,,
Adilabad,Jainad,04-Feb-21,0,9,34.6,12.1,75.4,0,11.6,,,,,
Adilabad,Jainad,05-Feb-21,0,11,33,15.2,78.1,0,10.4,,,,,
Adilabad,Jainad,06-Feb-21,0,15.4,33.2,17.6,66.5,0,8.4,,,,,
Adilabad,Jainad,07-Feb-21,0,10.9,31.8,27.8,76.5,0,8.9,,,,,
Adilabad,Jainad,08-Feb-21,0,7.7,31,22,79.4,0,7.1,,,,,
Adilabad,Jainad,09-Feb-21,0,7.7,31.8,15.9,75,0,6.7,,,,,
Adilabad,Jainad,10-Feb-21,0,8.5,32.8,15.9,74.1,0,6.3,,,,,
Adilabad,Jainad,11-Feb-21,0,10.7,33.8,14.1,72.6,0,3.4,,,,,
Adilabad,Jainad,12-Feb-21,0,13.2,35.5,17.1,75.9,0,8.6,,,,,
Adilabad,Jainad,13-Feb-21,0,13.9,34.2,23.1,77,0,4.4,,,,,
Adilabad,Jainad,14-Feb-21,0,19,34.5,23.7,71.3,0,7.6,,,,,
Adilabad,Jainad,15-Feb-21,0,19.5,35.3,26.2,63.1,0,1.8,,,,,
Adilabad,Jainad,16-Feb-21,0,17.8,34.9,24.6,70.4,0,6,,,,,
Adilabad,Jainad,17-Feb-21,0,18.1,34.6,25.7,69.6,0,11.3,,,,,
Adilabad,Jainad,18-Feb-21,0,17.5,33.9,30.9,75.7,0,10.7,,,,,
Adilabad,Jainad,19-Feb-21,0,16.9,27.8,36.8,84.8,0,10.1,,,,,
Adilabad,Jainad,20-Feb-21,0,13,24.3,44.9,90.5,0,6,,,,,
Adilabad,Jainad,21-Feb-21,0,15.4,33.7,29.3,81,0,9.4,,,,,
Adilabad,Jainad,22-Feb-21,0,14.9,33.7,28.5,76.9,0,8.8,,,,,
Adilabad,Jainad,23-Feb-21,0,13.2,35.3,19.5,72.8,0,6.3,,,,,
Adilabad,Jainad,24-Feb-21,0,13.9,35.5,17.5,68.8,0,7.7,,,,,
Adilabad,Jainad,25-Feb-21,0,14.2,37,18.8,70.7,0,4.9,,,,,
Adilabad,Jainad,26-Feb-21,0,17.2,37.8,16.3,64.2,0,5.5,,,,,
Adilabad,Jainad,27-Feb-21,0,15.7,38.1,19.3,64,0,8,,,,,
Adilabad,Jainad,28-Feb-21,0,15.8,38,16.4,58.3,0,7.9,,,,,
Adilabad,Jainad,01-Mar-21,0,22.9,38.2,14,46.9,0,4.3,,,,,
Adilabad,Jainad,02-Mar-21,0,18.1,38.4,14.7,65.2,0,3,,,,,
Adilabad,Jainad,03-Mar-21,0,14.6,38.1,13.2,62,0,2.4,,,,,
Adilabad,Jainad,04-Mar-21,0,14,37.6,11.9,62.7,0,5.3,,,,,
Adilabad,Jainad,05-Mar-21,0,18.8,38.2,9.6,47.8,0,1.5,,,,,
Adilabad,Jainad,06-Mar-21,0,15.7,37.7,12,61.9,0,10.3,,,,,
Adilabad,Jainad,07-Mar-21,0,15.6,37.6,11.2,51.1,0,2.3,,,,,
Adilabad,Jainad,08-Mar-21,0,18.5,38.8,12.3,55.5,0,1.2,,,,,
Adilabad,Jainad,09-Mar-21,0,23.5,38.2,15,65.2,0,4.5,,,,,
Adilabad,Jainad,10-Mar-21,0,23.1,37.2,16.8,65.6,0.2,10.2,,,,,
Adilabad,Jainad,11-Mar-21,0,23.3,37.9,19.1,60.8,0,9.7,,,,,
Adilabad,Jainad,12-Mar-21,0,18.9,37.6,15.6,63.3,0,10.4,,,,,
Adilabad,Jainad,13-Mar-21,0,21.5,37.5,19.7,61,0.2,12,,,,,
Adilabad,Jainad,14-Mar-21,0,18.1,35.1,18.9,57.5,0,11.7,,,,,
Adilabad,Jainad,15-Mar-21,0,18.9,37,15.8,51.6,0,8.3,,,,,
Adilabad,Jainad,16-Mar-21,0,20.1,37.8,16.5,62.2,0,3.9,,,,,
Adilabad,Jainad,17-Mar-21,0,21.3,37.6,19.2,61,0,2.4,,,,,
Adilabad,Jainad,18-Mar-21,0,24.1,37.7,18.6,62.2,0,9.1,,,,,
Adilabad,Jainad,19-Mar-21,0,24,38,22.9,55.1,0.3,10.1,,,,,
Adilabad,Jainad,20-Mar-21,0,21.5,34.9,29.4,63.8,0.1,9.6,,,,,
Adilabad,Jainad,21-Mar-21,0,19.9,36.2,26.2,65.9,0,10.9,,,,,
Adilabad,Jainad,22-Mar-21,0,21.1,38,20,55.3,0,4.3,,,,,
Adilabad,Jainad,23-Mar-21,0.9,20.9,37.6,22.3,76.1,0.1,9.1,,,,,
Adilabad,Jainad,24-Mar-21,0,17.7,34.9,26.5,70.7,0,8.8,,,,,
Adilabad,Jainad,25-Mar-21,0,19.6,37.3,22.2,60.5,0,3.4,,,,,
Adilabad,Jainad,26-Mar-21,0,20.8,38.7,18.5,51,0,4.8,,,,,
Adilabad,Jainad,27-Mar-21,0,18.1,39.6,18,40.6,0.9,7.7,,,,,
Adilabad,Jainad,28-Mar-21,0,19.1,40.3,12.8,54.2,0,2.2,,,,,
Adilabad,Jainad,29-Mar-21,0,21.4,42,11.2,46.6,0,7.1,,,,,
Adilabad,Jainad,30-Mar-21,0,21.4,42.7,11.5,50.2,0,0.9,,,,,
Adilabad,Jainad,31-Mar-21,0,23.5,42.3,13.3,63.3,0,12.7,,,,,
Adilabad,Bela,01-Jan-21,0,10.4,30.2,40.9,95,0,8.5,,,,,
Adilabad,Bela,02-Jan-21,0,12.4,30.5,39.6,95.4,0,7,,,,,
Adilabad,Bela,03-Jan-21,0,10.9,30.3,47.1,97.1,0,6,,,,,
Adilabad,Bela,04-Jan-21,0,12.8,30,47.5,95.8,0,8.7,,,,,
Adilabad,Bela,05-Jan-21,0,12.7,32.9,39.5,95.6,0,6.3,,,,,
Adilabad,Bela,06-Jan-21,0,15.4,30.6,49.3,93.4,0,6.9,,,,,
Adilabad,Bela,07-Jan-21,0,19.8,31,50.8,91.2,0,7,,,,,
Adilabad,Bela,08-Jan-21,0,20.8,29,65,91.4,0,6.5,,,,,
Adilabad,Bela,09-Jan-21,0,15.4,30.4,60.5,96.5,0,5.8,,,,,
Adilabad,Bela,10-Jan-21,0,14.2,34.7,29.9,100,0,9,,,,,
Adilabad,Bela,11-Jan-21,0,14,34.4,34,92,0,6.9,,,,,
Adilabad,Bela,12-Jan-21,0,15.3,33.6,35,93.4,0,8.9,,,,,
Adilabad,Bela,13-Jan-21,0,15.9,33.1,38.1,95.4,0,7,,,,,
Adilabad,Bela,14-Jan-21,0,13.2,31.3,45.8,94.8,0,7,,,,,
Adilabad,Bela,15-Jan-21,0,10.9,31.9,36.9,92.7,0,9.1,,,,,
Adilabad,Bela,16-Jan-21,0,11.7,32.2,28.5,89.6,0,5.7,,,,,
Adilabad,Bela,17-Jan-21,0,13.3,33,34.1,90.1,0,5.7,,,,,
Adilabad,Bela,18-Jan-21,0,12.6,32.3,29.9,91.7,0,7.7,,,,,
Adilabad,Bela,19-Jan-21,0,14.1,32.8,32.8,94.1,0,7.7,,,,,
Adilabad,Bela,20-Jan-21,0,16.8,34,34,90.1,0,10.5,,,,,
Adilabad,Bela,21-Jan-21,0,16.2,32.9,36.3,90.3,0,10.8,,,,,
Adilabad,Bela,22-Jan-21,0,11,32,33.5,91.2,0,7.2,,,,,
Adilabad,Bela,23-Jan-21,0,11.5,32.8,27.5,91.5,0,7.9,,,,,
Adilabad,Bela,24-Jan-21,0,16.9,33.9,32.1,90.9,0,12.7,,,,,
Adilabad,Bela,25-Jan-21,0,16,34.4,37.6,89,0,10.3,,,,,
Adilabad,Bela,26-Jan-21,0,16.1,32.8,39.7,92.7,0,10.3,,,,,
Adilabad,Bela,27-Jan-21,0,15.2,33.6,39.9,85.9,0,6.5,,,,,
Adilabad,Bela,28-Jan-21,0,17.3,32.1,46.2,92.6,0,6,,,,,
Adilabad,Bela,29-Jan-21,0,18.3,32.6,45.9,91.8,0,13.9,,,,,
Adilabad,Bela,30-Jan-21,5.6,13.7,32.1,47.2,93.6,0,7.8,,,,,
Adilabad,Bela,31-Jan-21,0,10.7,28.2,37.6,89.5,0,10.6,,,,,
Adilabad,Bela,01-Feb-21,0,10.6,31,31.2,89.9,0,5.1,,,,,
Adilabad,Bela,02-Feb-21,0,9.5,32.7,26.4,89.6,0,9,,,,,
Adilabad,Bela,03-Feb-21,0,8.2,32.7,19.2,86.6,0,7.3,,,,,
Adilabad,Bela,04-Feb-21,0,8.1,33.4,15,84.2,0,7.1,,,,,
Adilabad,Bela,05-Feb-21,0,10.4,33,17.5,88.5,0,7.1,,,,,
Adilabad,Bela,06-Feb-21,0,15.3,33.4,19.7,75.2,0,9.1,,,,,
Adilabad,Bela,07-Feb-21,0,11.3,31.5,30.2,87.8,0,8.4,,,,,
Adilabad,Bela,08-Feb-21,0,7.3,29.7,29.6,84.8,0,11.3,,,,,
Adilabad,Bela,09-Feb-21,0,7.4,30.8,19.3,88,0,7.3,,,,,
Adilabad,Bela,10-Feb-21,0,8.2,32.5,18.4,85,0,6.9,,,,,
Adilabad,Bela,11-Feb-21,0,9.6,33.4,17.1,85.8,0,8.1,,,,,
Adilabad,Bela,12-Feb-21,0,12.6,34,17.7,80.6,0.1,10.7,,,,,
Adilabad,Bela,13-Feb-21,0,13.3,33.7,25.1,85.9,0,10.4,,,,,
Adilabad,Bela,14-Feb-21,0,18.1,34.7,26.4,77.1,0,11.4,,,,,
Adilabad,Bela,15-Feb-21,0,19.9,34.5,27.1,62.3,0,8.5,,,,,
Adilabad,Bela,16-Feb-21,0,16.7,35.1,25.8,80.1,0,11.5,,,,,
Adilabad,Bela,17-Feb-21,0,17.3,34.5,23.4,78.3,0,18.6,,,,,
Adilabad,Bela,18-Feb-21,1.8,17.2,32.1,34.7,92.8,0,10.2,,,,,
Adilabad,Bela,19-Feb-21,8.7,16.5,28.8,49.4,94.1,0,12.1,,,,,
Adilabad,Bela,20-Feb-21,0.2,13,24.1,65,96.9,0,9,,,,,
Adilabad,Bela,21-Feb-21,0,15.2,31.4,37.8,92.9,0,14.3,,,,,
Adilabad,Bela,22-Feb-21,0,14.6,32.8,37.2,91.9,0,8.6,,,,,
Adilabad,Bela,23-Feb-21,0,12.7,34.3,24.2,86.5,0,7.8,,,,,
Adilabad,Bela,24-Feb-21,0,13.1,35.1,19.3,86.1,0,6.7,,,,,
Adilabad,Bela,25-Feb-21,0,13.1,36.9,17.3,85.4,0,7.2,,,,,
Adilabad,Bela,26-Feb-21,0,16.8,37.5,14.1,72.2,0,11.4,,,,,
Adilabad,Bela,27-Feb-21,0,15.7,37.6,18.2,69.6,0,10.3,,,,,
Adilabad,Bela,28-Feb-21,0,15.4,37.5,12.8,67.4,0,10.2,,,,,
Adilabad,Bela,01-Mar-21,0,22.6,38.4,11,56.3,0,11.2,,,,,
Adilabad,Bela,02-Mar-21,0,18.2,38.2,11,68.7,0,7.6,,,,,
Adilabad,Bela,03-Mar-21,0,14,37.5,11.3,65.6,0.1,10.4,,,,,
Adilabad,Bela,04-Mar-21,0,13.6,36.3,11.5,61.3,0,8.1,,,,,
Adilabad,Bela,05-Mar-21,0,18.9,38.2,6.9,54.6,0,13.3,,,,,
Adilabad,Bela,06-Mar-21,0,14.7,37.3,10,72.9,0,15.3,,,,,
Adilabad,Bela,07-Mar-21,0,15.4,37.4,8.2,55.2,0,8.1,,,,,
Adilabad,Bela,08-Mar-21,0,17.7,38.8,9.5,60.9,0,11.8,,,,,
Adilabad,Bela,09-Mar-21,0,23.7,38.1,12.1,65.5,0.1,15.3,,,,,
Adilabad,Bela,10-Mar-21,0,24,37.2,18.2,67.7,0.1,14.8,,,,,
Adilabad,Bela,11-Mar-21,0,25.1,37.8,17.5,60.5,0,14.6,,,,,
Adilabad,Bela,12-Mar-21,0,19.1,37.7,10.8,60.7,0.2,14.8,,,,,
Adilabad,Bela,13-Mar-21,0,21.7,37.6,18.6,70.4,1,18.1,,,,,
Adilabad,Bela,14-Mar-21,0,17.6,35,24,62,0,11.4,,,,,
Adilabad,Bela,15-Mar-21,0,18.7,36.9,18.9,58,0,10.4,,,,,
Adilabad,Bela,16-Mar-21,0,19.8,37.4,17.7,63.1,0,13.9,,,,,
Adilabad,Bela,17-Mar-21,0,21,37.8,20.6,62.7,0.1,8.4,,,,,
Adilabad,Bela,18-Mar-21,0,24.8,37.7,21.6,61.3,0,9.4,,,,,
Adilabad,Bela,19-Mar-21,1.1,23.4,37,29,77.2,0.1,16.2,,,,,
Adilabad,Bela,20-Mar-21,0,21.3,33.2,36.3,77,0,11.6,,,,,
Adilabad,Bela,21-Mar-21,0,19.4,34.8,29.5,81.8,0,14.1,,,,,
Adilabad,Bela,22-Mar-21,0,21,36.6,23.2,60.8,0,18.6,,,,,
Adilabad,Bela,23-Mar-21,0,23.3,37,26,65.6,0,15.2,,,,,
Adilabad,Bela,24-Mar-21,0,17.6,34,30.1,71.7,0,12.4,,,,,
Adilabad,Bela,25-Mar-21,0,20.9,36.9,25,58,0,9.2,,,,,
Adilabad,Bela,26-Mar-21,0,20.3,38.1,21.2,52.8,0,9.9,,,,,
Adilabad,Bela,27-Mar-21,0,20.6,37.9,20.2,35.2,0.8,11.3,,,,,
Adilabad,Bela,28-Mar-21,0,19.7,38.2,13.2,41.2,0,11.3,,,,,
Adilabad,Bela,29-Mar-21,0,21.2,39.5,10.4,45.1,0,10.4,,,,,
Adilabad,Bela,30-Mar-21,0,21.4,40.5,13.9,46.4,0,12.8,,,,,
Adilabad,Bela,31-Mar-21,0,23.4,40.3,11.6,63.3,0,21.7,,,,,
Adilabad,Gadiguda,01-Jan-21,0,12.8,29.1,44.9,82.7,0,5.1,,,,,
Adilabad,Gadiguda,02-Jan-21,0,14.4,29.6,44.8,85.5,0,4,,,,,
Adilabad,Gadiguda,03-Jan-21,0,13,29.7,51,91.7,0,3.5,,,,,
Adilabad,Gadiguda,04-Jan-21,0,13.9,29.3,50.6,91.3,0,5,,,,,
Adilabad,Gadiguda,05-Jan-21,0,14.2,30.9,46.2,86.5,0,3.9,,,,,
Adilabad,Gadiguda,06-Jan-21,0,17,29.7,52,83.2,0,3.8,,,,,
Adilabad,Gadiguda,07-Jan-21,0,20.1,29.7,55.9,85.2,0,3.8,,,,,
Adilabad,Gadiguda,08-Jan-21,0,21,27.9,66.8,84.7,0,3.7,,,,,
Adilabad,Gadiguda,09-Jan-21,0,16.5,30.3,59.2,87.4,0,3.3,,,,,
Adilabad,Gadiguda,10-Jan-21,0,15.7,33.2,34,89.2,0,5.5,,,,,
Adilabad,Gadiguda,11-Jan-21,0,16.3,33.4,32,82.6,0,4,,,,,
Adilabad,Gadiguda,12-Jan-21,0,17.3,32.3,42.6,82.8,0,4.9,,,,,
Adilabad,Gadiguda,13-Jan-21,0,16.6,32.2,44.9,85.6,0,4,,,,,
Adilabad,Gadiguda,14-Jan-21,0,14.7,30.8,44.4,86,0,4,,,,,
Adilabad,Gadiguda,15-Jan-21,0,13.7,30.9,42,80.5,0,3.5,,,,,
Adilabad,Gadiguda,16-Jan-21,0,14.2,31.4,32.6,74.2,0,3.4,,,,,
Adilabad,Gadiguda,17-Jan-21,0,15.9,31.7,37.9,79,0,3.3,,,,,
Adilabad,Gadiguda,18-Jan-21,0,14.3,31.1,35.1,77.9,0,4.5,,,,,
Adilabad,Gadiguda,19-Jan-21,0,16.4,31.5,37.4,83.3,0,3.1,,,,,
Adilabad,Gadiguda,20-Jan-21,0,18.8,32.8,39.8,80.8,0,4,,,,,
Adilabad,Gadiguda,21-Jan-21,0,17.6,31.9,43.2,80.1,0,6.3,,,,,
Adilabad,Gadiguda,22-Jan-21,0,14,30.7,40.2,75.8,0,4.2,,,,,
